id;question;correct;distractor1;distractor2;distractor3;grade;visible
203;[["text","△△▽_△▽◁▷"]];[["text","y"]];[["text","i"]];;;0;0
204;[["text","▷◁▷△△◁_▷"]];[["text","i"]];[["text","y"]];;;0;1
205;[["text","△▷◯_◁◁◯▽"]];[["text","y"]];[["text","i"]];;;0;1
206;[["text","▽▷_▷"]];[["text","y"]];[["text","i"]];;;0;0
207;[["text","▷▷_▽▷"]];[["text","í"]];[["text","ý"]];;;0;1
208;[["text","▷◯_△"]];[["text","y"]];[["text","i"]];;;0;1
209;[["text","▷▷△_▷△▷▷"]];[["text","y"]];[["text","i"]];;;0;1
210;[["text","▽_▽▽▽◯△"]];[["text","í"]];[["text","ý"]];;;0;1
211;[["text","△◯_▷▷▷▷"]];[["text","y"]];[["text","i"]];;;0;1
212;[["text","▽▽▷▽_△△"]];[["text","y"]];[["text","i"]];;;0;0
213;[["text","◯◁△◁_▽"]];[["text","y"]];[["text","i"]];;;0;1
214;[["text","▽△◁▽△◁_▽"]];[["text","i"]];[["text","y"]];;;0;1
215;[["text","△_▷▽▽"]];[["text","ý"]];[["text","í"]];;;0;1
216;[["text","▽▽_◁▽"]];[["text","y"]];[["text","i"]];;;0;1
217;[["text","△▷◁_△◯▷◁"]];[["text","y"]];[["text","i"]];;;0;1
218;[["text","◯▷◯◯▷_▽"]];[["text","í"]];[["text","ý"]];;;0;1
219;[["text","▽▷_▽▷"]];[["text","y"]];[["text","i"]];;;0;1
220;[["text","△▷▽_◯◯▽"]];[["text","i"]];[["text","y"]];;;0;1
221;[["text","▷_◯"]];[["text","y"]];[["text","i"]];;;0;0
222;[["text","▽◁△▽_▽▷"]];[["text","y"]];[["text","i"]];;;0;1
223;[["text","△▽▷◯△_▷▷"]];[["text","y"]];[["text","i"]];;;0;1
224;[["text","△◯_◁"]];[["text","y"]];[["text","i"]];;;0;1
225;[["text","◁_◯◁"]];[["text","y"]];[["text","i"]];;;0;1
226;[["text","◁▽▷◁_◯△▽"]];[["text","y"]];[["text","i"]];;;0;1
227;[["text","▽_◁△▽"]];[["text","i"]];[["text","y"]];;;0;1
228;[["text","◯◁_▽"]];[["text","ý"]];[["text","í"]];;;0;1
229;[["text","▷▷▽_△"]];[["text","i"]];[["text","y"]];;;0;1
230;[["text","▽_△"]];[["text","ý"]];[["text","í"]];;;0;1
231;[["text","▷△_◁▽△▽◁"]];[["text","ý"]];[["text","í"]];;;0;1
232;[["text","▷△_◯"]];[["text","i"]];[["text","y"]];;;0;1
233;[["text","◯▽◯_△△◯"]];[["text","y"]];[["text","i"]];;;0;1
234;[["text","△_▽▷◁"]];[["text","y"]];[["text","i"]];;;0;1
235;[["text","▽▷▷▽_◯△▷"]];[["text","y"]];[["text","i"]];;;0;1
236;[["text","△▽_△▷"]];[["text","y"]];[["text","i"]];;;0;1
237;[["text","◁◁◯_◁◯"]];[["text","i"]];[["text","y"]];;;0;1
238;[["text","△◯◁◯_▽◯"]];[["text","y"]];[["text","i"]];;;0;1
239;[["text","△◯▽△▽△_△"]];[["text","y"]];[["text","i"]];;;0;1
240;[["text","△△▷△▽_◯"]];[["text","i"]];[["text","y"]];;;0;1
241;[["text","▽▷◁_▷◯"]];[["text","y"]];[["text","i"]];;;0;1
242;[["text","◯_▽"]];[["text","i"]];[["text","y"]];;;0;1
243;[["text","▽◁◁◯◯◁_▽"]];[["text","y"]];[["text","i"]];;;0;1
244;[["text","▷◯_◯◁▷"]];[["text","y"]];[["text","i"]];;;0;1
245;[["text","◁◁_◁"]];[["text","i"]];[["text","y"]];;;0;1
246;[["text","△◯_△▷◯◁"]];[["text","ý"]];[["text","í"]];;;0;1
247;[["text","▷▽▽_◯◁◯◁"]];[["text","ý"]];[["text","í"]];;;0;1
248;[["text","▷_◯"]];[["text","i"]];[["text","y"]];;;0;1
249;[["text","◯◯_▷◯◯◁◯"]];[["text","ý"]];[["text","í"]];;;0;1
250;[["text","▷_▽▽◁"]];[["text","i"]];[["text","y"]];;;0;1
251;[["text","▽_△"]];[["text","ý"]];[["text","í"]];;;0;0
252;[["text","◯◁▷▷_▽"]];[["text","ý"]];[["text","í"]];;;0;1
253;[["text","▽_▽▷"]];[["text","ý"]];[["text","í"]];;;0;1
254;[["text","▽△_◁▷◯◁"]];[["text","i"]];[["text","y"]];;;0;1
255;[["text","▽_▷◁▽"]];[["text","y"]];[["text","i"]];;;0;1
256;[["text","▽◁◁_▷"]];[["text","y"]];[["text","i"]];;;0;1
257;[["text","▽_▷"]];[["text","i"]];[["text","y"]];;;0;1
258;[["text","△_◯◯"]];[["text","y"]];[["text","i"]];;;0;1
259;[["text","◯▽△_▷▷◁▽"]];[["text","y"]];[["text","i"]];;;0;1
260;[["text","△_◁"]];[["text","y"]];[["text","i"]];;;0;1
261;[["text","△_◁▷▽◁▷▷"]];[["text","ý"]];[["text","í"]];;;0;1
262;[["text","▽▷▷▽▽_▷"]];[["text","y"]];[["text","i"]];;;0;1
263;[["text","◁_▽"]];[["text","y"]];[["text","i"]];;;0;1
264;[["text","▽▷_◁▽△◯"]];[["text","y"]];[["text","i"]];;;0;1
265;[["text","△◁▽△_▷▷"]];[["text","y"]];[["text","i"]];;;0;1
266;[["text","△◁◯◯◁_△◯"]];[["text","ý"]];[["text","í"]];;;0;1
267;[["text","▷_◁◁"]];[["text","y"]];[["text","i"]];;;0;1
268;[["text","▷▽◯▽◯▽_◁"]];[["text","ý"]];[["text","í"]];;;0;1
269;[["text","◯_◯"]];[["text","ý"]];[["text","í"]];;;0;1
270;[["text","△▽△_▽▽◯◯"]];[["text","ý"]];[["text","í"]];;;0;1
271;[["text","△◯▽_◯▷◯"]];[["text","y"]];[["text","i"]];;;0;1
272;[["text","◯◁◁_▷▽"]];[["text","í"]];[["text","ý"]];;;0;0
273;[["text","▽▷▷▷_◯"]];[["text","í"]];[["text","ý"]];;;0;1
274;[["text","◁▽_◁"]];[["text","í"]];[["text","ý"]];;;0;1
275;[["text","▽_◯"]];[["text","í"]];[["text","ý"]];;;0;1
276;[["text","◯◁◁_▷▽"]];[["text","i"]];[["text","y"]];;;0;1
277;[["text","▽_▷◯"]];[["text","i"]];[["text","y"]];;;0;1
278;[["text","▷◁▷▽_▽◁◁"]];[["text","i"]];[["text","y"]];;;0;1
279;[["text","▽_▽▷▷◁"]];[["text","i"]];[["text","y"]];;;0;1
280;[["text","◁▷_◯△▷"]];[["text","i"]];[["text","y"]];;;0;1
281;[["text","◯▷_△◯◯▷▽"]];[["text","ý"]];[["text","í"]];;;0;1
282;[["text","▷_◁▽"]];[["text","i"]];[["text","y"]];;;0;1
283;[["text","▷◯_◁◯"]];[["text","y"]];[["text","i"]];;;0;1
284;[["text","◁_△◁◯◯"]];[["text","y"]];[["text","i"]];;;0;1
285;[["text","△_▷▽◁"]];[["text","í"]];[["text","ý"]];;;0;1
286;[["text","△_◁▽△"]];[["text","y"]];[["text","i"]];;;0;1
287;[["text","◁◯_▽▷▽△"]];[["text","y"]];[["text","i"]];;;0;1
288;[["text","▷◁_△"]];[["text","i"]];[["text","y"]];;;0;1
289;[["text","▽△◯◁_◯▷▷"]];[["text","y"]];[["text","i"]];;;0;1
290;[["text","▷▽_△◁◁"]];[["text","i"]];[["text","y"]];;;0;0
291;[["text","◯▷_△△△◁"]];[["text","ý"]];[["text","í"]];;;0;1
292;[["text","△◯_◯▷"]];[["text","y"]];[["text","i"]];;;0;0
293;[["text","▷▽◁_△▽▽"]];[["text","y"]];[["text","i"]];;;0;1
294;[["text","◁◯◯_▽◯△"]];[["text","í"]];[["text","ý"]];;;0;1
295;[["text","▽△▷▷△_◯◯"]];[["text","y"]];[["text","i"]];;;0;0
296;[["text","▽◁◁△_▽▽◁"]];[["text","y"]];[["text","i"]];;;0;0
297;[["text","◁_◯◯▽◯▽"]];[["text","y"]];[["text","i"]];;;0;1
298;[["text","▷△◯◯_▽▷"]];[["text","i"]];[["text","y"]];;;0;1
299;[["text","△_△"]];[["text","y"]];[["text","i"]];;;0;1
300;[["text","◯_△"]];[["text","y"]];[["text","i"]];;;0;1
301;[["text","▷△_△"]];[["text","ý"]];[["text","í"]];;;0;1
302;[["text","◯▽_▷"]];[["text","í"]];[["text","ý"]];;;0;0
304;[["text","△◯◁_◁▽"]];[["text","y"]];[["text","i"]];;;0;1
305;[["text","◯_△▽◯"]];[["text","i"]];[["text","y"]];;;0;1
306;[["text","△▽◁▷_◁"]];[["text","y"]];[["text","i"]];;;0;1
307;[["text","▽◯◯_▽"]];[["text","y"]];[["text","i"]];;;0;1
308;[["text","◁_◯▷▷▷△"]];[["text","i"]];[["text","y"]];;;0;1
309;[["text","◁_▽▷"]];[["text","y"]];[["text","i"]];;;0;1
310;[["text","▽_◁"]];[["text","i"]];[["text","y"]];;;0;1
311;[["text","▽▽▷▷▷_▽"]];[["text","y"]];[["text","i"]];;;0;1
312;[["text","◯_◁"]];[["text","ý"]];[["text","í"]];;;0;1
313;[["text","◯◁◁_▷"]];[["text","ý"]];[["text","í"]];;;0;1
314;[["text","▷_▷"]];[["text","y"]];[["text","i"]];;;0;0
315;[["text","△◯△_▷△"]];[["text","y"]];[["text","i"]];;;0;1
316;[["text","▽_◯▽△"]];[["text","y"]];[["text","i"]];;;0;1
317;[["text","△_◯"]];[["text","y"]];[["text","i"]];;;0;1
318;[["text","△▷◯_▷▽"]];[["text","í"]];[["text","ý"]];;;0;1
319;[["text","△_▽△"]];[["text","y"]];[["text","i"]];;;0;1
320;[["text","▷_▷▽◁▷△"]];[["text","y"]];[["text","i"]];;;0;1
321;[["text","▷△_◁▷◯"]];[["text","y"]];[["text","i"]];;;0;1
322;[["text","▽_◯◯"]];[["text","y"]];[["text","i"]];;;0;1
323;[["text","◁_◁"]];[["text","ý"]];[["text","í"]];;;0;1
324;[["text","▷◁_△◁▽△"]];[["text","í"]];[["text","ý"]];;;0;1
325;[["text","▽▷◁▷_◯▽"]];[["text","ý"]];[["text","í"]];;;0;1
326;[["text","◯◯◯◯▽_▽◁"]];[["text","ý"]];[["text","í"]];;;0;1
327;[["text","▽_◁▽"]];[["text","ý"]];[["text","í"]];;;0;1
328;[["text","▽▷_▷△▽"]];[["text","ý"]];[["text","í"]];;;0;1
329;[["text","◁_▷▽△◯▷"]];[["text","i"]];[["text","y"]];;;0;1
330;[["text","▷▽◁◯△_▽"]];[["text","y"]];[["text","i"]];;;0;1
331;[["text","▷_▷◯▷△◁◁"]];[["text","y"]];[["text","i"]];;;0;1
332;[["text","◁▷▷_▽"]];[["text","y"]];[["text","i"]];;;0;1
333;[["text","◯_▽▽▷▷◯"]];[["text","y"]];[["text","i"]];;;0;1
334;[["text","△_▽"]];[["text","y"]];[["text","i"]];;;0;1
335;[["text","▽◁_◁"]];[["text","i"]];[["text","y"]];;;0;1
336;[["text","◁_△"]];[["text","y"]];[["text","i"]];;;0;1
337;[["text","◁_△"]];[["text","y"]];[["text","i"]];;;0;1
338;[["text","◯△▷▽_◁"]];[["text","y"]];[["text","i"]];;;0;1
339;[["text","▷△_◁▷◁"]];[["text","i"]];[["text","y"]];;;0;1
340;[["text","▷_▽△"]];[["text","y"]];[["text","i"]];;;0;1
341;[["text","◯_△"]];[["text","ý"]];[["text","í"]];;;0;0
343;[["text","▽△◁◯_▽△"]];[["text","y"]];[["text","i"]];;;0;1
344;[["text","◁◯_◯"]];[["text","ý"]];[["text","í"]];;;0;1
345;[["text","△◯_△"]];[["text","í"]];[["text","ý"]];;;0;0
346;[["text","◯_▷"]];[["text","y"]];[["text","i"]];;;0;1
347;[["text","▷_◯"]];[["text","y"]];[["text","i"]];;;0;1
348;[["text","◁△▷_△△◯"]];[["text","y"]];[["text","i"]];;;0;0
349;[["text","◁_◯"]];[["text","y"]];[["text","i"]];;;0;1
350;[["text","▽_△◁"]];[["text","í"]];[["text","ý"]];;;0;0
351;[["text","△△◯▽▽_◯◯"]];[["text","y"]];[["text","i"]];;;0;1
352;[["text","◯▽_▷◁"]];[["text","y"]];[["text","i"]];;;0;1
353;[["text","◁△_▷△◯▽"]];[["text","y"]];[["text","i"]];;;0;1
354;[["text","△_△"]];[["text","i"]];[["text","y"]];;;0;1
355;[["text","◁_▽△"]];[["text","y"]];[["text","i"]];;;0;1
356;[["text","▽_▽"]];[["text","ý"]];[["text","í"]];;;0;1
357;[["text","▽▷_◁"]];[["text","ý"]];[["text","í"]];;;0;1
358;[["text","▷△_▷"]];[["text","ý"]];[["text","í"]];;;0;1
359;[["text","◁_◁▷▽▷▽"]];[["text","ý"]];[["text","í"]];;;0;1
360;[["text","▷_◯"]];[["text","y"]];[["text","i"]];;;0;1
361;[["text","◯_△"]];[["text","i"]];[["text","y"]];;;0;1
362;[["text","◁◁△△_◯"]];[["text","y"]];[["text","i"]];;;0;1
363;[["text","▷▽◁_△△"]];[["text","y"]];[["text","i"]];;;0;1
364;[["text","▷◯▷_▽▷▷"]];[["text","i"]];[["text","y"]];;;0;1
365;[["text","▽▷▷_◁◁◯"]];[["text","y"]];[["text","i"]];;;0;1
366;[["text","△▽▽_▷▽▽▽"]];[["text","y"]];[["text","i"]];;;0;1
367;[["text","▽_▽◁△△▷▽"]];[["text","y"]];[["text","i"]];;;0;1
368;[["text","△◁_◁"]];[["text","y"]];[["text","i"]];;;0;1
369;[["text","△_◁"]];[["text","i"]];[["text","y"]];;;0;1
370;[["text","◁◯_▷△△◁"]];[["text","y"]];[["text","i"]];;;0;1
371;[["text","▷▷△_◯▽◯◯"]];[["text","y"]];[["text","i"]];;;0;1
